Sentence,LearningStyle
"ali, who was two at the time, loved the story about the little girl who lived in a teeny, weeny house and played with itty, bitty toys.",Auditory
"look at my dad, spiffed up in jodhpurs, ready to ride that bay mare he loved.",Auditory
believe me it's far more difficult to know what to say to an unconscious loved one than the movies make out.,Auditory
"the surrealists loved bad movies, seeing them as subversive attacks on the tyranny of narrative form.",Auditory
"he idolised prize-fighters, regarded racketeers as his friends and loved money though he had difficulty holding on to it.",Auditory
"i'm sure my neighbours must have loved me, since the noise it made could delicately be called an absolute racket.",Auditory
our lads take it very seriously and we'd have loved to win but it wasn't to be.,Auditory
"i loved the reverend's daughter, and i loved the sweet, sweet jive of rock and roll music.",Auditory
"she loved them for their mortality, for their casual acceptance of the dark, and for their quotidian lives, so unlike her own.",Auditory
i loved the way that the stage just transformed itself with quivering strands of material.,Auditory
"jenny loved the look of the school house and began imagining her new life in its charming, quirky interior.",Auditory
"i don't doubt that my husband loved me, but i also know that i was a trophy in some ways.",Auditory
a new survey reveals that less than a quarter of people wait on the platform to wave their loved one farewell until the train has pulled out.,Auditory
there is intense sibling jealousy and she feels she is not loved as much as the youngest child.,Auditory
"she was a dynamic, passionate, and caring woman, who loved drama and literature as much as medicine.",Auditory
there are no quick fixes for the grief and anguish after the death of a loved one.,Auditory
"among waterfowl, the canada goose is the least loved, especially by golfers.",Auditory
those nutters in the square loved every minute of it and even cheered when the water cannon returned.,Auditory
i have stopped wearing watches because time is really painful when you don't have your loved ones with you.,Auditory
"i don't like jewelry or make up, but i loved buying chains that accessorize my clothing.",Auditory
it is one of the world's most well loved ballets and is easily accessible to those whose knowledge of classical ballet is only limited.,Auditory
"the young children in the war-torn city loved to paint and were always ready to learn, she said.",Auditory
the crew of two royal navy warships returned home from the war in iraq yesterday to a noisy reception from loved ones.,Auditory
generous and warm-hearted you like to shower your loved one with affection and are very demonstrative and affectionate.,Auditory
but then miller began taking more traditional academic courses and found he loved being a college student.,Auditory
you are generous and loving in personal and family relationships and spend quality time with loved ones.,Auditory
"the warden announced that the execution could begin, and i told him that i loved him.",Auditory
i saw children who had been repeatedly abused by loved ones or people in authority.,Auditory
"the sudden, abrupt death from a heart attack of the 14-year-old from strensall shattered all those who knew and loved him.",Auditory
he was a keen walker of long-distance trails in britain and loved travelling.,Auditory
a well loved member of the card playing circuit for many years his hearty laugh could always be heard above any din.,Auditory
"the most important thing is the presence of god with us, and loving this abba as we are first loved.",Auditory
"meanwhile, local families with loved ones on holiday in southern asia face an anxious wait for news.",Auditory
in this way father frost became a dearly loved and adored character among bulgarian children.,Auditory
"it seemed that at queensmead he was adored and loved where ever he went, and by many different year groups, not just our own.",Auditory
"mam loved people, adored god and family and always wanted the other person, whether family or friend to have half of whatever she had.",Auditory
"he loved people, adored our friends and was the life of any party we had at home.",Auditory
"and lauren loved him for all his sweet adorableness, and pure innocence, and she smiled.",Auditory
"a man with a great fondness for the outdoor life, he loved to ramble in the countryside and experience the peace and quiet of the land.",Auditory
and he loved to tell the yarn about how he and a pal pilfered a barrel of whiskey out from under the noses of the police during prohibition.,Auditory
"my boyfriend brought me to london and surprised me by booking us in at the met hotel, absolutely stunning and funky place to stay, i loved it!",Auditory
she loved dancing will also be missed in the raftery room for the waltz and quick step.,Auditory
kathleen and michael loved music and dancing and were the recipients of many trophies for waltzing and the quick step.,Auditory
"if i haven't already made it abundantly clear, i loved every minute of the wire.",Auditory
outside medicine he was an accomplished pianist and loved his garden and the nearby lake district.,Auditory
"having loved and lost, he yearned for the sort of redamancy only the classical love of years gone past may have once known.",Auditory
"during the recent week that i drove the 6-series ragtop around los angeles, car-savvy angelenos loved it.",Auditory
"they loved the baby, but felt too young to take care of her and decided to put her up for adoption.",Auditory
"i loved the first season, and i would love to play another incredibly strong, badass character.",Auditory
"i loved what i managed to see of new york, but my skin protested by sprouting ugly things, and it took several shampoos to wash new york dirt out of my hair.",Auditory
"i loved the simplicity of it, i loved the autonomy of it, and i loved the language of abbreviations that instant messaging has.",Auditory
"in most ways, the creators of the musical did not want to water down the tevye they knew and loved.",Auditory
"when alessandro bernaroli met his wife-to-be, alessandra, he knew he loved her despite his confusion over his gender.",Auditory
"even after salinger had decamped to cornish, he loved to lunch with william shawn and lillian ross at the algonquin in new york.",Auditory
i loved his blend of native american realism with just a touch of surrealism.,Auditory
"dozens of tearful family members huddled at the surabaya and singapore airports, anxiously awaiting news of loved ones.",Auditory
"palmer's desire to be loved is large, his need for proofs of appreciation considerable.",Auditory
"the country he had so ardently defended and the city of benghazi, which he had helped to save and he so loved, proved his undoing.",Auditory
"and when pedro almodovar showed us the argentine film, we loved it because it was so fresh.",Auditory
"before his brutal killing along a dark bike path in ashland, ore., 23-year-old david grubbs loved playing videogames.",Auditory
"the president loved the quote, and turned it into an entire ending about american greatness and aspiration.",Auditory
"augustus, also known as augustus the strong, was a party-boy, and loved any excuse to celebrate.",Auditory
"and there, the sand castle builder and tag player who loved her aunt more than science would be buried.",Auditory
"one woman, bb, is a former pastor who was outed to her congregation before she could even tell her loved ones.",Auditory
"beethoven, of course, was no stranger to megalomania, and he even loved to brag to his friends about his vanity.",Auditory
"forrest gump was about as crimson as they come, and america loved the bejesus out of him.",Auditory
"he was a benchmark, a mentor as an artist and as a man, and i just loved him with all my heart.",Auditory
"he loved the swing music played by big bands, and his heroes included benny goodman, count basie, and earl hines.",Auditory
"no one was quite sure how pepper made it to the bitter end, except that the show's producers loved the drama she provoked.",Auditory
"she was also a buxom beauty, a kind of nineteenth century bombshell who loved to flirt.",Auditory
"reporters loved brady, and i dare say the love was mutual, which is not always the case with press secretaries.",Auditory
"ygritte, the red-headed wildling archer who once loved jon snow, has breached the walls of castle black.",Auditory
"we loved zellweger as bridget jones for owning her weight, finding love, and never settling for less than she deserved.",Auditory
"occasionally, when brie focuses very hard, her loved ones can briefly sense her, can hear her whispering in their ears.",Auditory
"and, like her mother, she was abandoned by the man she loved.",Auditory
i wondered what the casualty officers would say to loved ones if they asked to see the ceremony.,Auditory
i would have loved to be a fly on the wall in last week's cabinet meeting.,Auditory
i'd have loved to have been a fly on the wall for that conversation.,Auditory
"the editors, writers, and cartoonists at charlie hebdo were human beings with families, friends, and loved ones.",Auditory
relatives of the dead were forced to collect the charred body parts of their loved ones and transport them to their burial sites.,Auditory
"to me, death was a mysterious, dark, horrible thing that would catch you and drag you down into a deep abyss, away from everything and everyone you loved.",Auditory
"but they sort of ran the place, secretaries or organisers or whatever they were, and we kids loved them, really loved them and they were as warm as toast.",Auditory
